ID,Title,Category,CPU,RAM,Price,Image
5,2021 Apple MacBook Pro - Silver,Laptop,intel i5,8GB,1297,U_Mac1.1.jpg
6,Apple 2023 MacBook Pro -Space Gray,Laptop,intel i5,4GB,1349,U_Mac2.1.jpg
7,Apple 2023 MacBook Pro-Silver,Accessories,intel i3,8GB,1168,U_Mac3.1.jpg
8,Early 2019 Apple iMac(renewed),Accessories,intel i7,8GB,700,U_Mac4.1.jpg
9,2020 Apple MacBook Air-Gold,Accessories,intel i5,8GB,677,U_Mac6.1.jpg
10,Apple 2024 MacBook Pro -Space Black,Accessories,intel i5,8GB,1798,ICT_Macbooklaptop2_MliAqgP.1.jpg
11,Apple 2024 MacBook Pro- Space Black,Accessories,intel i5,8GB,5898,U_Mac8.1.jpg
13,ASUS ROG Strix G17 Gaming Laptop,Laptop,intel,8,1093.09,ICT_Asuslaptop2_6E8fdps.1.jpg
14,"Apple MacBook Pro 15""",Laptop,Intel Core i7,4 GB,799.99,Citcom_Apple_Macbook_1_1.jpg
15,Apple 2023 MacBook Pro,Laptop,Ryzen 5,16 GB,1859.99,Citcom_Apple_Macbook_2_1.jpg
16,Apple 2024 MacBook Pro,Laptop,Apple M4,128,5898.49,Citcom_Apple_Macbook_3_1.jpg
17,"Apple MacBook Pro 16.2""",Laptop,Apple M4,1 TB,2699,Citcom_Apple_Macbook_4_1.jpg
18,"Apple 2024 MacBook Air 15""",Laptop,Apple M3,8 GB,1154.09,Citcom_Apple_Macbook_5_1.jpg
20,Apple MacBook Air MD712LL/B,Laptop,Intel i7,4 GB,240.62,Citcom_Apple_Macbook_6_1_2xSjJvw.jpg
21,Apple 2023 MacBook Pro,Laptop,intel i7,16 GB,1349.09,Citcom_Apple_Macbook_7_1.jpg
22,"Apple MacBook Pro 16.2""",Laptop,Ryzen 9,36 GB,3049,Citcom_Apple_Macbook_8_1.jpg
23,Apple 2023 MacBook Air,Laptop,Ryzen 5,8 GB,939.85,Citcom_Apple_Macbook_9_1.jpg
24,"Apple 2024 MacBook Air 13""",Laptop,Intel i7,16 GB,939.85,Citcom_Apple_Macbook_10_1.jpg
25,"Acer Aspire Go 15 Slim Laptop  15.6""",Laptop,Intel Core i3,8 GB,507.33,Citcom_Acer_1_1.jpg
26,"Acer 2023 Newest Chromebook 315 Laptop 15.6""",Laptop,Celeron,4 GB,289.52,Citcom_Acer_2_1.jpg
27,"2023 Newest Acer Aspire 5 Laptop 15.6""",Laptop,Ryzen 3 3350U,8 GB,721.79,Citcom_Acer_3_1.jpg
