Lenovo IdeaPad Slim 15.6 inch FHD Touch Laptop | AMD Ryzen 7-7730U(Beat i7-1355U) | AMD Radeon Graphics| Fingerprint | Backlit | 16GB RAM | 512GB SSD | Windows 11 Home | Bundle with Stylus Pen 

Brand 	Lenovo
Model Name 	Lenovo Ideapad
Screen Size 	15.6 Inches
Color 	Blue
Hard Disk Size 	512 GB
CPU Model 	Ryzen 7
Ram Memory Installed Size 	16 GB
Operating System 	Windows 11 Home
Special Feature 	Fingerprint Reader, Backlit Keyboard, Numeric Keypad
Graphics Card 	AMD Radeon Graphics

Price - $544.49


