
Lenovo IdeaCentre AIO All-in-One Desktop 2024 New ~ 27" FHD IPS Touchscreen ~ AMD Ryzen 5 7530U 6-Core ~ AMD Radeon Graphics ~ 16GB DDR4~1TB SSD ~ Wi-Fi ~ RJ45 LAN ~ Windows 10 Home ~ WWC 32GB USB

Brand 	Lenovo
Operating System 	Windows 10 Home
CPU Model 	Ryzen 5
CPU Speed 	2.1 GHz
Graphics Card Description 	Integrated
Graphics Coprocessor 	AMD Radeon Graphics
Specific Uses For Product 	Business
Screen Size 	27 Inches
Ram Memory Installed Size 	16 GB
Model Name 	IdeaCentre AIO 3 27ALC6

Price - $999.99
